Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;FullTimeResult;AverageHomeWinOdd;AverageDrawWinOdd;AverageAwayWinOdd;AvgOver2_5;AvgUnder2_5;Div
05/02/2011;47;Tottenham;68;Bolton;2;1;H;1.57;4;6;1.81;1.96;39;
05/02/2011;61;Wigan;67;Blackburn;4;3;H;2.5;3.25;2.9;2.15;1.66;39;
05/02/2011;39;Wolves;33;Man United;2;1;H;8.5;4.5;1.4;1.75;2.03;39;
06/02/2011;49;Chelsea;40;Liverpool;0;1;A;1.62;4;5.5;1.96;1.81;39;
06/02/2011;48;West Ham;54;Birmingham;0;1;A;2;3.5;3.75;2.01;1.76;39;
12/02/2011;42;Arsenal;39;Wolves;2;0;H;1.22;6;15;1.53;2.39;39;
12/02/2011;54;Birmingham;75;Stoke;1;0;H;2.5;3.2;2.9;2.24;1.62;39;
12/02/2011;67;Blackburn;34;Newcastle;0;0;D;2.1;3.4;3.5;1.88;1.89;39;
12/02/2011;1356;Blackpool;66;Aston Villa;1;1;D;3.25;3.4;2.2;1.54;2.34;39;
12/02/2011;40;Liverpool;61;Wigan;1;1;D;1.36;4.75;9;1.82;1.96;39;
12/02/2011;33;Man United;50;Man City;2;1;H;1.73;3.6;5;2;1.78;39;
12/02/2011;746;Sunderland;47;Tottenham;1;2;A;2.75;3.25;2.6;1.98;1.8;39;
12/02/2011;60;West Brom;48;West Ham;3;3;D;1.91;3.6;4;1.71;2.08;39;
13/02/2011;68;Bolton;45;Everton;2;0;H;2.75;3.25;2.6;1.98;1.79;39;
14/02/2011;36;Fulham;49;Chelsea;0;0;D;5;3.6;1.73;1.98;1.8;39;
15/02/2011;54;Birmingham;34;Newcastle;0;2;A;2.6;3.2;2.8;2.22;1.63;39;
20/02/2011;60;West Brom;39;Wolves;1;1;D;1.85;3.4;4.5;1.81;1.97;39;
22/02/2011;1356;Blackpool;47;Tottenham;3;1;H;4;3.6;1.91;1.55;2.36;39;
23/02/2011;42;Arsenal;75;Stoke;1;0;H;1.3;5.25;10;1.61;2.25;39;
26/02/2011;66;Aston Villa;67;Blackburn;4;1;H;1.73;3.6;5;1.84;1.94;39;
