Date;HomeTeamid;HomeTeamName;AwayTeamId;AwayTeamName;HomeGoals;AwayGoals;
14/03/2021;0;Leicester;0;Sheffield United;5;0;
14/03/2021;494;Arsenal;593;Tottenham;2;1;
14/03/2021;556;Man United;598;West Ham;1;0;
15/03/2021;600;Wolves;550;Liverpool;0;1;
19/03/2021;535;Fulham;0;Leeds;1;2;
20/03/2021;0;Brighton;562;Newcastle;3;0;
21/03/2021;598;West Ham;494;Arsenal;3;3;
21/03/2021;495;Aston Villa;593;Tottenham;0;2;
03/04/2021;519;Chelsea;597;West Brom;2;5;
03/04/2021;0;Leeds;0;Sheffield United;2;1;
03/04/2021;0;Leicester;555;Man City;0;2;
03/04/2021;494;Arsenal;550;Liverpool;0;3;
04/04/2021;0;Southampton;0;Burnley;3;2;
04/04/2021;562;Newcastle;593;Tottenham;2;2;
04/04/2021;495;Aston Villa;535;Fulham;3;1;
04/04/2021;556;Man United;0;Brighton;2;1;
05/04/2021;8560;Everton;0;Crystal Palace;1;1;
05/04/2021;600;Wolves;598;West Ham;2;3;
09/04/2021;535;Fulham;600;Wolves;0;1;
10/04/2021;555;Man City;0;Leeds;1;2;
10/04/2021;550;Liverpool;495;Aston Villa;2;1;
10/04/2021;0;Crystal Palace;519;Chelsea;1;4;
11/04/2021;0;Burnley;562;Newcastle;1;2;
11/04/2021;598;West Ham;0;Leicester;3;2;
11/04/2021;593;Tottenham;556;Man United;1;3;
11/04/2021;0;Sheffield United;494;Arsenal;0;3;
12/04/2021;597;West Brom;0;Southampton;3;0;
12/04/2021;0;Brighton;8560;Everton;0;0;
16/04/2021;8560;Everton;593;Tottenham;2;2;
17/04/2021;562;Newcastle;598;West Ham;3;2;
17/04/2021;600;Wolves;0;Sheffield United;1;0;
18/04/2021;494;Arsenal;535;Fulham;1;1;
18/04/2021;556;Man United;0;Burnley;3;1;
19/04/2021;0;Leeds;550;Liverpool;1;1;
20/04/2021;519;Chelsea;0;Brighton;0;0;
21/04/2021;593;Tottenham;0;Southampton;2;1;
21/04/2021;495;Aston Villa;555;Man City;1;2;
22/04/2021;0;Leicester;597;West Brom;3;0;
23/04/2021;494;Arsenal;8560;Everton;0;1;
24/04/2021;550;Liverpool;562;Newcastle;1;1;
24/04/2021;598;West Ham;519;Chelsea;0;1;
24/04/2021;0;Sheffield United;0;Brighton;1;0;
25/04/2021;600;Wolves;0;Burnley;0;4;
25/04/2021;0;Leeds;556;Man United;0;0;
25/04/2021;495;Aston Villa;597;West Brom;2;2;
26/04/2021;0;Leicester;0;Crystal Palace;2;1;
30/04/2021;0;Southampton;0;Leicester;1;1;
01/05/2021;0;Crystal Palace;555;Man City;0;2;
01/05/2021;0;Brighton;0;Leeds;2;0;
01/05/2021;519;Chelsea;535;Fulham;2;0;
01/05/2021;8560;Everton;495;Aston Villa;1;2;
02/05/2021;562;Newcastle;494;Arsenal;0;2;
02/05/2021;593;Tottenham;0;Sheffield United;4;0;
03/05/2021;597;West Brom;600;Wolves;1;1;
03/05/2021;0;Burnley;598;West Ham;1;2;
07/05/2021;0;Leicester;562;Newcastle;2;4;
08/05/2021;0;Leeds;593;Tottenham;3;1;
08/05/2021;0;Sheffield United;0;Crystal Palace;0;2;
08/05/2021;555;Man City;519;Chelsea;1;2;
08/05/2021;550;Liverpool;0;Southampton;2;0;
09/05/2021;600;Wolves;0;Brighton;2;1;
09/05/2021;495;Aston Villa;556;Man United;1;3;
09/05/2021;598;West Ham;8560;Everton;0;1;
09/05/2021;494;Arsenal;597;West Brom;3;1;
10/05/2021;535;Fulham;0;Burnley;0;2;
11/05/2021;556;Man United;0;Leicester;1;2;
11/05/2021;0;Southampton;0;Crystal Palace;3;1;
12/05/2021;519;Chelsea;494;Arsenal;0;1;
13/05/2021;495;Aston Villa;8560;Everton;0;0;
13/05/2021;556;Man United;550;Liverpool;2;4;
14/05/2021;562;Newcastle;555;Man City;3;4;
15/05/2021;0;Burnley;0;Leeds;0;4;
15/05/2021;0;Southampton;535;Fulham;3;1;
15/05/2021;0;Brighton;598;West Ham;1;1;
16/05/2021;0;Crystal Palace;495;Aston Villa;3;2;
16/05/2021;593;Tottenham;600;Wolves;2;0;
16/05/2021;597;West Brom;550;Liverpool;1;2;
16/05/2021;8560;Everton;0;Sheffield United;0;1;
18/05/2021;556;Man United;535;Fulham;1;1;
18/05/2021;0;Southampton;0;Leeds;0;2;
18/05/2021;0;Brighton;555;Man City;3;2;
18/05/2021;519;Chelsea;0;Leicester;2;1;
19/05/2021;8560;Everton;600;Wolves;1;0;
19/05/2021;562;Newcastle;0;Sheffield United;1;0;
19/05/2021;593;Tottenham;495;Aston Villa;1;2;
19/05/2021;0;Crystal Palace;494;Arsenal;1;3;
19/05/2021;0;Burnley;550;Liverpool;0;3;
19/05/2021;597;West Brom;598;West Ham;1;3;
